Input,Approved name
RPL9P7,ribosomal protein L9 pseudogene 7
STAT5A,signal transducer and activator of transcription 5A
HAO2,hydroxyacid oxidase 2
PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
ROCK2,Rho associated coiled-coil containing protein kinase 2
SMTNL1,smoothelin like 1
SPSB3,splA/ryanodine receptor domain and SOCS box containing 3
GOPC,golgi associated PDZ and coiled-coil motif containing
AASDH,aminoadipate-semialdehyde dehydrogenase
TADA3,transcriptional adaptor 3
MYB,"MYB proto-oncogene, transcription factor"
INPP5D,inositol polyphosphate-5-phosphatase D
ADSL,adenylosuccinate lyase
PICALM,phosphatidylinositol binding clathrin assembly protein
MRC2,mannose receptor C type 2
FHL3,four and a half LIM domains 3
PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma
EIF1B,eukaryotic translation initiation factor 1B
CUL1,cullin 1
SAPCD1,suppressor APC domain containing 1
FRMD5,FERM domain containing 5
ETHE1,ETHE1 persulfide dioxygenase
SERF2,small EDRK-rich factor 2
DDX41,DEAD-box helicase 41
CCL5,C-C motif chemokine ligand 5
GADD45A,growth arrest and DNA damage inducible alpha
FBP1,fructose-bisphosphatase 1
PAX8,paired box 8
COG5,component of oligomeric golgi complex 5
AMY2A,amylase alpha 2A
DOK1,docking protein 1
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta
DDX39A,DExD-box helicase 39A
SREBF2,sterol regulatory element binding transcription factor 2
PSMA1,proteasome 20S subunit alpha 1
VASP,vasodilator stimulated phosphoprotein
GTF2F2,general transcription factor IIF subunit 2
CLEC14A,C-type lectin domain containing 14A
SLC9A3R1,SLC9A3 regulator 1
SLC3A1,solute carrier family 3 member 1
TOM1L2,target of myb1 like 2 membrane trafficking protein
NR2C2,nuclear receptor subfamily 2 group C member 2
IGF2,insulin like growth factor 2
ASB15,ankyrin repeat and SOCS box containing 15
DUX4,double homeobox 4
NCR1,natural cytotoxicity triggering receptor 1
EPB41L2,erythrocyte membrane protein band 4.1 like 2
VANGL1,VANGL planar cell polarity protein 1
RHEB,"Ras homolog, mTORC1 binding"
OGDH,oxoglutarate dehydrogenase
MSL3,MSL complex subunit 3
ACTL6A,actin like 6A
RPUSD4,RNA pseudouridine synthase D4
SNAPIN,SNAP associated protein
NUP153,nucleoporin 153
ARL2,ADP ribosylation factor like GTPase 2
EMG1,EMG1 N1-specific pseudouridine methyltransferase
PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
TJP2,tight junction protein 2
XPO7,exportin 7
GSK3B,glycogen synthase kinase 3 beta
UTP14A,UTP14A small subunit processome component
NUP155,nucleoporin 155
EIF4E2,eukaryotic translation initiation factor 4E family member 2
GOLPH3,golgi phosphoprotein 3
APIP,APAF1 interacting protein
PECAM1,platelet and endothelial cell adhesion molecule 1
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
TXNDC5,thioredoxin domain containing 5
CYP24A1,cytochrome P450 family 24 subfamily A member 1
FGA,fibrinogen alpha chain
SH2D1A,SH2 domain containing 1A
TRAF6,TNF receptor associated factor 6
ZBTB16,zinc finger and BTB domain containing 16
TRHDE,thyrotropin releasing hormone degrading enzyme
IL13RA2,interleukin 13 receptor subunit alpha 2
TRIM29,tripartite motif containing 29
KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1"
EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1
KIF2A,kinesin family member 2A
WASF1,WASP family member 1
GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
WDR1,WD repeat domain 1
PTPN22,protein tyrosine phosphatase non-receptor type 22
TIAM1,TIAM Rac1 associated GEF 1
HTR3A,5-hydroxytryptamine receptor 3A
MAP2K3,mitogen-activated protein kinase kinase 3
APOA2,apolipoprotein A2
ACACA,acetyl-CoA carboxylase alpha
CAPN1,calpain 1
AIRE,autoimmune regulator
UBE2L3,ubiquitin conjugating enzyme E2 L3
VWA8,von Willebrand factor A domain containing 8
GTF3C1,general transcription factor IIIC subunit 1
STYXL1,serine/threonine/tyrosine interacting like 1
PGAM2,phosphoglycerate mutase 2
ZEB2,zinc finger E-box binding homeobox 2
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
SDC1,syndecan 1
CCDC97,coiled-coil domain containing 97
IRF7,interferon regulatory factor 7
HTT,huntingtin
SP3,Sp3 transcription factor
NLRP2,NLR family pyrin domain containing 2
PPL,periplakin
SH3D21,SH3 domain containing 21
CGNL1,cingulin like 1
DNMT3A,DNA methyltransferase 3 alpha
SLC7A9,solute carrier family 7 member 9
PHB,prohibitin
MOGS,mannosyl-oligosaccharide glucosidase
UBAC1,UBA domain containing 1
ZNF135,zinc finger protein 135
HILPDA,hypoxia inducible lipid droplet associated
RNF19A,"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
AKAP8L,A-kinase anchoring protein 8 like
ARRB1,arrestin beta 1
SREK1,splicing regulatory glutamic acid and lysine rich protein 1
FKBP1B,FKBP prolyl isomerase 1B
F9,coagulation factor IX
GATA3,GATA binding protein 3
BIN2,bridging integrator 2
CD1B,CD1b molecule
EP300,E1A binding protein p300
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
NUP205,nucleoporin 205
VASN,vasorin
PDK3,pyruvate dehydrogenase kinase 3
MBL2,mannose binding lectin 2
NTRK2,neurotrophic receptor tyrosine kinase 2
TOPBP1,DNA topoisomerase II binding protein 1
GRIP1,glutamate receptor interacting protein 1
ZBTB22,zinc finger and BTB domain containing 22
MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
NAGK,N-acetylglucosamine kinase
NR0B2,nuclear receptor subfamily 0 group B member 2
LCN2,lipocalin 2
ZBTB4,zinc finger and BTB domain containing 4
HSPB2,heat shock protein family B (small) member 2
RPL7,ribosomal protein L7
GRIK4,glutamate ionotropic receptor kainate type subunit 4
NDN,"necdin, MAGE family member"
CRELD1,cysteine rich with EGF like domains 1
NCDN,neurochondrin
MED6,mediator complex subunit 6
CEP135,centrosomal protein 135
YTHDF1,YTH N6-methyladenosine RNA binding protein 1
SRPRA,SRP receptor subunit alpha
EIF3K,eukaryotic translation initiation factor 3 subunit K
DCLRE1C,DNA cross-link repair 1C
HSPA8,heat shock protein family A (Hsp70) member 8
RPS26,ribosomal protein S26
PDCD6IP,programmed cell death 6 interacting protein
CDH5,cadherin 5
SLC25A6,solute carrier family 25 member 6
TSC22D3,TSC22 domain family member 3
CSK,C-terminal Src kinase
KIF15,kinesin family member 15
GRAP2,GRB2 related adaptor protein 2
COPS6,COP9 signalosome subunit 6
APOF,apolipoprotein F
KRT3,keratin 3
FTH1,ferritin heavy chain 1
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
SSBP2,single stranded DNA binding protein 2
MIR155,microRNA 155
IL10,interleukin 10
RPS3,ribosomal protein S3
TSPAN1,tetraspanin 1
ATP2B1,ATPase plasma membrane Ca2+ transporting 1
KDM1B,lysine demethylase 1B
BCL2L10,BCL2 like 10
MYO1B,myosin IB
FOXO1,forkhead box O1
RPL27AP6,ribosomal protein L27a pseudogene 6
HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
BZW1,basic leucine zipper and W2 domains 1
BHLHE40,basic helix-loop-helix family member e40
S100A6,S100 calcium binding protein A6
ANXA3,annexin A3
VAV1,vav guanine nucleotide exchange factor 1
SLC8A2,solute carrier family 8 member A2
SLC22A9,solute carrier family 22 member 9
POLA1,"DNA polymerase alpha 1, catalytic subunit"
ZNF326,zinc finger protein 326
LINC01139,long intergenic non-protein coding RNA 1139
IL3RA,interleukin 3 receptor subunit alpha
FSTL5,follistatin like 5
CTNNA1,catenin alpha 1
CAMK2B,calcium/calmodulin dependent protein kinase II beta
CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit
PNMA1,PNMA family member 1
STAT5B,signal transducer and activator of transcription 5B
ITGA4,integrin subunit alpha 4
PPP1R9B,protein phosphatase 1 regulatory subunit 9B
KIAA0408,KIAA0408
ARHGDIA,Rho GDP dissociation inhibitor alpha
IMPA1,inositol monophosphatase 1
SEC23B,"SEC23 homolog B, COPII coat complex component"
CYS1,cystin 1
UTP15,UTP15 small subunit processome component
CNOT1,CCR4-NOT transcription complex subunit 1
NOS1AP,nitric oxide synthase 1 adaptor protein
SERPINB3,serpin family B member 3
USP29,ubiquitin specific peptidase 29
TMPRSS15,transmembrane serine protease 15
MRAP2,melanocortin 2 receptor accessory protein 2
MED12,mediator complex subunit 12
DSC1,desmocollin 1
CDH8,cadherin 8
FOXC1,forkhead box C1
CD209,CD209 molecule
OTUD4,OTU deubiquitinase 4
TSHZ2,teashirt zinc finger homeobox 2
TSTD2,thiosulfate sulfurtransferase like domain containing 2
NUDC,"nuclear distribution C, dynein complex regulator"
CCL3,C-C motif chemokine ligand 3
SAP18,Sin3A associated protein 18
FAR1,fatty acyl-CoA reductase 1
ELP1,elongator complex protein 1
CPNE2,copine 2
ERG,ETS transcription factor ERG
DLST,dihydrolipoamide S-succinyltransferase
MED24,mediator complex subunit 24
MAGEA8,MAGE family member A8
LPCAT1,lysophosphatidylcholine acyltransferase 1
NSUN5,NOP2/Sun RNA methyltransferase 5
GAB2,GRB2 associated binding protein 2
MIR106B,microRNA 106b
DSTYK,dual serine/threonine and tyrosine protein kinase
TLE1,"TLE family member 1, transcriptional corepressor"
RICTOR,RPTOR independent companion of MTOR complex 2
VAC14,VAC14 component of PIKFYVE complex
SERPINA12,serpin family A member 12
APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
TGFBI,transforming growth factor beta induced
ATN1,atrophin 1
CMTM5,CKLF like MARVEL transmembrane domain containing 5
SACS,sacsin molecular chaperone
GPRASP2,G protein-coupled receptor associated sorting protein 2
STOML2,stomatin like 2
TNFRSF10A,TNF receptor superfamily member 10a
XRN2,5'-3' exoribonuclease 2
POLB,DNA polymerase beta
CDYL,chromodomain Y like
SNRNP200,small nuclear ribonucleoprotein U5 subunit 200
ERVK-10,endogenous retrovirus group K member 10
FAM110A,family with sequence similarity 110 member A
TNFRSF11B,TNF receptor superfamily member 11b
PDS5A,PDS5 cohesin associated factor A
PINK1,PTEN induced kinase 1
SMIM5,small integral membrane protein 5
SYNC,"syncoilin, intermediate filament protein"
CLINT1,clathrin interactor 1
TBL3,transducin beta like 3
SH2B1,SH2B adaptor protein 1
CALB2,calbindin 2
RPL24,ribosomal protein L24
ZBTB14,zinc finger and BTB domain containing 14
LYPLA1,lysophospholipase 1
CEP131,centrosomal protein 131
KIF1A,kinesin family member 1A
PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2
SMARCA1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
SEC61B,SEC61 translocon subunit beta
CANX,calnexin
RPRD1A,regulation of nuclear pre-mRNA domain containing 1A
ZFP64,ZFP64 zinc finger protein
TNK2,tyrosine kinase non receptor 2
RPS4X,ribosomal protein S4 X-linked
BMP2,bone morphogenetic protein 2
ASB9,ankyrin repeat and SOCS box containing 9
PRICKLE1,prickle planar cell polarity protein 1
PRC1,protein regulator of cytokinesis 1
AUP1,AUP1 lipid droplet regulating VLDL assembly factor
CRIP1,cysteine rich protein 1
AMER1,APC membrane recruitment protein 1
IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
PLAC8,placenta associated 8
HSPG2,heparan sulfate proteoglycan 2
ERN1,endoplasmic reticulum to nucleus signaling 1
NR2C1,nuclear receptor subfamily 2 group C member 1
TMEM63B,transmembrane protein 63B
EMD,emerin
RAC3,Rac family small GTPase 3
USP16,ubiquitin specific peptidase 16
HDAC5,histone deacetylase 5
FYCO1,FYVE and coiled-coil domain autophagy adaptor 1
HBZ,hemoglobin subunit zeta
ABCA6,ATP binding cassette subfamily A member 6
NDRG4,NDRG family member 4
MIR9-1,microRNA 9-1
KCTD12,potassium channel tetramerization domain containing 12
CNOT8,CCR4-NOT transcription complex subunit 8
CREB1,cAMP responsive element binding protein 1
CYLD,CYLD lysine 63 deubiquitinase
CHD1L,chromodomain helicase DNA binding protein 1 like
CTSA,cathepsin A
ARL5A,ADP ribosylation factor like GTPase 5A
VAV2,vav guanine nucleotide exchange factor 2
LIMD1,LIM domains containing 1
TMEM33,transmembrane protein 33
STX17,syntaxin 17
PTPRO,protein tyrosine phosphatase receptor type O
PHYH,phytanoyl-CoA 2-hydroxylase
BMX,BMX non-receptor tyrosine kinase
ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
SF3B1,splicing factor 3b subunit 1
DHRS7B,dehydrogenase/reductase 7B
PSME1,proteasome activator subunit 1
LBR,lamin B receptor
EIF4G1,eukaryotic translation initiation factor 4 gamma 1
GSTP1,glutathione S-transferase pi 1
LGALS8,galectin 8
EIF5,eukaryotic translation initiation factor 5
FKBP7,FKBP prolyl isomerase 7
TSGA10,testis specific 10
MGARP,mitochondria localized glutamic acid rich protein
MYOD1,myogenic differentiation 1
PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha
DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
JRK,Jrk helix-turn-helix protein
TRAF4,TNF receptor associated factor 4
PEBP1,phosphatidylethanolamine binding protein 1
SMYD2,SET and MYND domain containing 2
UBE2W,ubiquitin conjugating enzyme E2 W
JAK2,Janus kinase 2
ATP6V1A,ATPase H+ transporting V1 subunit A
SRGN,serglycin
HSPH1,heat shock protein family H (Hsp110) member 1
ZBTB10,zinc finger and BTB domain containing 10
FAT1,FAT atypical cadherin 1
VPS45,vacuolar protein sorting 45 homolog
TRIM71,tripartite motif containing 71
MFAP1,microfibril associated protein 1
LSM8,"LSM8 homolog, U6 small nuclear RNA associated"
NCOA2,nuclear receptor coactivator 2
SMAD9,SMAD family member 9
CSF2RB,colony stimulating factor 2 receptor subunit beta
PSMA7,proteasome 20S subunit alpha 7
POLD3,"DNA polymerase delta 3, accessory subunit"
SERPINB12,serpin family B member 12
CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase"
CUL9,cullin 9
ARHGEF25,Rho guanine nucleotide exchange factor 25
ADAM33,ADAM metallopeptidase domain 33
RIN2,Ras and Rab interactor 2
IDH2,isocitrate dehydrogenase (NADP(+)) 2
FBN3,fibrillin 3
EIF3E,eukaryotic translation initiation factor 3 subunit E
SFXN3,sideroflexin 3
UFD1,ubiquitin recognition factor in ER associated degradation 1
SNX15,sorting nexin 15
ZZZ3,zinc finger ZZ-type containing 3
FGFRL1,fibroblast growth factor receptor like 1
CAPNS1,calpain small subunit 1
DLD,dihydrolipoamide dehydrogenase
ATOH1,atonal bHLH transcription factor 1
SDR16C5,short chain dehydrogenase/reductase family 16C member 5
ZIC3,Zic family member 3
CBX5,chromobox 5
HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
USP26,ubiquitin specific peptidase 26
TNRC6A,trinucleotide repeat containing adaptor 6A
POLDIP2,DNA polymerase delta interacting protein 2
SRRT,"serrate, RNA effector molecule"
LRWD1,leucine rich repeats and WD repeat domain containing 1
NTN4,netrin 4
CD9,CD9 molecule
SMNDC1,survival motor neuron domain containing 1
LAPTM4B,lysosomal protein transmembrane 4 beta
CREB3,cAMP responsive element binding protein 3
LGI4,leucine rich repeat LGI family member 4
ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2
TRAPPC13,trafficking protein particle complex 13
HEATR4,HEAT repeat containing 4
HMMR,hyaluronan mediated motility receptor
TRPV5,transient receptor potential cation channel subfamily V member 5
TUBGCP2,tubulin gamma complex associated protein 2
IQSEC1,IQ motif and Sec7 domain ArfGEF 1
PDCD6,programmed cell death 6
RASA1,RAS p21 protein activator 1
OLIG2,oligodendrocyte transcription factor 2
MYADM,myeloid associated differentiation marker
DVL1,dishevelled segment polarity protein 1
PIGS,phosphatidylinositol glycan anchor biosynthesis class S
KIAA1671,KIAA1671
RTL10,retrotransposon Gag like 10
PTGS2,prostaglandin-endoperoxide synthase 2
RET,ret proto-oncogene
MGST2,microsomal glutathione S-transferase 2
ADAM2,ADAM metallopeptidase domain 2
ADCY6,adenylate cyclase 6
LGALS3,galectin 3
SUPT6H,"SPT6 homolog, histone chaperone and transcription elongation factor"
SAT1,spermidine/spermine N1-acetyltransferase 1
MIR18B,microRNA 18b
PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha
SFPQ,splicing factor proline and glutamine rich
WDR6,WD repeat domain 6
BAG6,BAG cochaperone 6
KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2"
STAT2,signal transducer and activator of transcription 2
CPA4,carboxypeptidase A4
XAF1,XIAP associated factor 1
CD4,CD4 molecule
LGALS9,galectin 9
FLYWCH1,FLYWCH-type zinc finger 1
ITPA,inosine triphosphatase
CHD4,chromodomain helicase DNA binding protein 4
DAGLB,diacylglycerol lipase beta
RXRG,retinoid X receptor gamma
PTX3,pentraxin 3
TPM4,tropomyosin 4
TEPSIN,TEPSIN adaptor related protein complex 4 accessory protein
NUDT16L1,nudix hydrolase 16 like 1
RBM3,RNA binding motif protein 3
ERH,ERH mRNA splicing and mitosis factor
DNAJB8,DnaJ heat shock protein family (Hsp40) member B8
PTPRA,protein tyrosine phosphatase receptor type A
TOP1,DNA topoisomerase I
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
PGAM1,phosphoglycerate mutase 1
SGSM2,small G protein signaling modulator 2
SCAMP1,secretory carrier membrane protein 1
RAB8A,"RAB8A, member RAS oncogene family"
EPS8,epidermal growth factor receptor pathway substrate 8
DEFA1,defensin alpha 1
RIOX1,ribosomal oxygenase 1
DNAJB11,DnaJ heat shock protein family (Hsp40) member B11
PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2
PNMA5,PNMA family member 5
PARP11,poly(ADP-ribose) polymerase family member 11
CCNQ,cyclin Q
KRT17,keratin 17
RAP1B,"RAP1B, member of RAS oncogene family"
ALDOB,"aldolase, fructose-bisphosphate B"
RXRA,retinoid X receptor alpha
EP400,E1A binding protein p400
SBF2,SET binding factor 2
ZMYM4,zinc finger MYM-type containing 4
STRN3,striatin 3
DEFB1,defensin beta 1
MCAM,melanoma cell adhesion molecule
TMEM30B,transmembrane protein 30B
PKP2,plakophilin 2
THRAP3,thyroid hormone receptor associated protein 3
MCM4,minichromosome maintenance complex component 4
DAZL,deleted in azoospermia like
PSMD14,"proteasome 26S subunit, non-ATPase 14"
AREG,amphiregulin
CASP8,caspase 8
GOLGA5,golgin A5
GPNMB,glycoprotein nmb
NFKBIA,NFKB inhibitor alpha
RAD18,RAD18 E3 ubiquitin protein ligase
BCL6,BCL6 transcription repressor
TSPYL6,TSPY like 6
MPZL2,myelin protein zero like 2
COL12A1,collagen type XII alpha 1 chain
SHOC2,SHOC2 leucine rich repeat scaffold protein
PRRG4,proline rich and Gla domain 4
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1
TRMT11,tRNA methyltransferase 11 homolog
ESR1,estrogen receptor 1
MAST2,microtubule associated serine/threonine kinase 2
L1CAM,L1 cell adhesion molecule
FASLG,Fas ligand
INPP5E,inositol polyphosphate-5-phosphatase E
NOL8,nucleolar protein 8
KIAA1549,KIAA1549
SRPRB,SRP receptor subunit beta
BIRC6,baculoviral IAP repeat containing 6
ICAM5,intercellular adhesion molecule 5
TNFRSF10C,TNF receptor superfamily member 10c
USP21,ubiquitin specific peptidase 21
ATXN10,ataxin 10
TRIP13,thyroid hormone receptor interactor 13
LDB3,LIM domain binding 3
CORO1B,coronin 1B
CRBN,cereblon
TAX1BP1,Tax1 binding protein 1
DNAJC28,DnaJ heat shock protein family (Hsp40) member C28
PSEN2,presenilin 2
CXCL8,C-X-C motif chemokine ligand 8
ZNF668,zinc finger protein 668
MIR1-2,microRNA 1-2
PHKB,phosphorylase kinase regulatory subunit beta
IGHV1-2,immunoglobulin heavy variable 1-2
NR1H2,nuclear receptor subfamily 1 group H member 2
SHC3,SHC adaptor protein 3
UBL5,ubiquitin like 5
KIF26B,kinesin family member 26B
NR1H3,nuclear receptor subfamily 1 group H member 3
UBR1,ubiquitin protein ligase E3 component n-recognin 1
BTBD2,BTB domain containing 2
IPO7,importin 7
MYO7A,myosin VIIA
CSTF3,cleavage stimulation factor subunit 3
DHX38,DEAH-box helicase 38
C11orf58,chromosome 11 open reading frame 58
FAS,Fas cell surface death receptor
GLRA2,glycine receptor alpha 2
CEACAM21,CEA cell adhesion molecule 21
ZMAT3,zinc finger matrin-type 3
CCDC120,coiled-coil domain containing 120
CAPZA2,capping actin protein of muscle Z-line subunit alpha 2
TRIM44,tripartite motif containing 44
RUNDC3B,RUN domain containing 3B
CNIH4,cornichon family AMPA receptor auxiliary protein 4
ARPC1B,actin related protein 2/3 complex subunit 1B
CHN2,chimerin 2
FTSJ1,FtsJ RNA 2'-O-methyltransferase 1
PPFIA1,PTPRF interacting protein alpha 1
TNRC6C,trinucleotide repeat containing adaptor 6C
MTHFSD,methenyltetrahydrofolate synthetase domain containing
RPL38,ribosomal protein L38
ARPC4,actin related protein 2/3 complex subunit 4
